--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Kole Calhoun,34,424,.260,62,.263,.134,2.8%,32.1%,6.4%,90.8,48.2%,27.1%,38.0%,26.3%,0.61,38.8%,52.2%,9.0%,-2.3,-0.5%,-13.2,25%,60%,37%,calhoko01
Willie Calhoun,27,53,.260,61,.135,.136,1.9%,11.3%,15.1%,89.8,37.8%,21.1%,36.8%,31.6%,0.58,44.7%,44.7%,10.5%,0.2,0.1%,-3.7,43%,,33%,calhowi01
Charlie Culberson,33,124,.278,80,.329,.104,1.6%,25.0%,4.0%,82.6,27.3%,19.3%,53.4%,17.0%,1.27,20.5%,65.9%,13.6%,-0.2,0.0%,-2.0,35%,40%,46%,culbech01
Steven Duggar,28,19,.202,29,.600,.000,0.0%,63.2%,10.5%,90.4,20.0%,60.0%,20.0%,20.0%,0.25,40.0%,20.0%,40.0%,-0.8,-0.3%,-4.0,33%,50%,100%,duggast01
Ezequiel Duran,23,220,.282,76,.295,.130,2.3%,24.6%,5.5%,85.9,32.2%,20.8%,50.0%,12.3%,1.00,18.2%,57.1%,24.7%,0.6,0.2%,-5.7,36%,80%,37%,duranez01
Adolis García,29,657,.331,110,.309,.207,4.1%,27.9%,6.1%,91.9,47.8%,24.5%,40.9%,25.2%,0.69,29.3%,52.5%,18.3%,2.6,0.7%,14.5,36%,81%,63%,garciad02
Mitch Garver,31,215,.323,108,.228,.197,4.7%,24.7%,10.7%,88.9,38.7%,21.2%,34.3%,38.0%,0.52,40.9%,43.8%,15.3%,-0.1,-0.1%,2.2,24%,50%,41%,garvemi01
Jonah Heim,27,450,.312,99,.249,.172,3.6%,19.3%,9.1%,89.2,40.3%,20.9%,38.6%,30.8%,0.63,41.1%,46.4%,12.5%,-0.8,0.0%,-9.6,30%,100%,41%,heimjo01
Elier Hernandez,27,35,.194,14,.316,.061,0.0%,42.9%,2.9%,83.9,15.8%,26.3%,15.8%,47.4%,0.19,31.6%,31.6%,36.8%,-0.4,0.0%,-3.3,50%,,20%,hernael02
Sam Huff,24,132,.310,97,.333,.132,3.0%,31.8%,8.3%,88.9,36.7%,26.6%,44.3%,24.1%,0.80,31.6%,55.7%,12.7%,-0.2,-0.1%,-0.2,14%,100%,22%,huffsa01
Andy Ibáñez,29,128,.254,53,.258,.059,0.8%,16.4%,7.0%,88.3,39.8%,12.2%,43.9%,29.6%,0.78,13.3%,62.2%,24.5%,-0.5,-0.2%,-1.9,35%,100%,50%,ibanean01
Josh Jung,24,102,.286,77,.278,.214,4.9%,38.2%,3.9%,85.5,32.2%,25.4%,42.4%,25.4%,0.74,33.9%,49.2%,16.9%,-0.4,0.0%,-2.5,21%,100%,33%,jungjo01
Nathaniel Lowe,26,645,.373,144,.363,.191,4.2%,22.8%,7.4%,90.2,45.0%,26.0%,48.0%,21.5%,0.93,26.5%,55.2%,18.4%,2.0,0.5%,24.8,23%,50%,27%,lowena01
Mark Mathias,27,74,.412,167,.382,.277,6.8%,35.1%,12.2%,90.0,43.6%,28.2%,43.6%,25.6%,0.77,15.4%,66.7%,17.9%,1.0,0.0%,10.1,26%,100%,13%,mathima01
Brad Miller,32,241,.265,65,.274,.108,2.9%,29.1%,7.5%,90.8,40.1%,19.6%,41.8%,28.1%,0.73,27.5%,51.0%,21.6%,-0.4,0.1%,-3.6,22%,67%,23%,millebr02
Kevin Plawecki,31,11,.245,51,.429,.000,0.0%,36.4%,0.0%,82.8,14.3%,42.9%,14.3%,28.6%,0.17,42.9%,57.1%,0.0%,-0.1,0.0%,-0.1,0%,,,plaweke01
Zach Reks,28,34,.234,53,.375,.029,0.0%,29.4%,0.0%,86.3,41.7%,33.3%,25.0%,37.5%,0.33,33.3%,33.3%,33.3%,-0.1,-0.1%,-1.4,30%,0%,33%,reksza01
Corey Seager,28,663,.334,115,.242,.211,5.0%,15.5%,8.8%,91.1,45.6%,25.9%,40.2%,30.3%,0.67,33.7%,51.3%,14.9%,0.7,0.2%,14.8,33%,100%,40%,seageco01
Marcus Semien,31,724,.334,113,.263,.181,3.6%,16.6%,7.3%,87.3,34.9%,21.8%,33.6%,34.0%,0.51,32.7%,51.0%,16.3%,0.4,0.1%,15.3,39%,76%,62%,semiema01
Josh Smith,24,253,.259,62,.244,.052,0.8%,19.8%,11.1%,85.3,28.6%,25.6%,33.3%,26.2%,0.52,29.2%,50.6%,20.2%,-1.7,-0.2%,-5.6,28%,57%,46%,smithjo11
Nick Solak,27,95,.324,110,.233,.122,3.2%,20.0%,7.4%,85.0,34.4%,17.2%,54.7%,21.9%,1.30,26.6%,53.1%,20.3%,-0.6,-0.2%,-3.4,42%,60%,56%,solakni01
Leody Taveras,23,341,.300,91,.344,.105,1.5%,25.8%,6.2%,87.3,36.4%,24.3%,41.3%,22.6%,0.75,30.0%,48.3%,21.7%,-0.4,0.1%,-2.7,32%,69%,47%,taverle01
Bubba Thompson,24,181,.288,70,.389,.047,0.6%,30.9%,3.9%,77.4,21.6%,14.7%,46.6%,19.0%,1.17,31.0%,49.1%,19.8%,-0.4,0.0%,-6.7,30%,86%,50%,thompbu01
Meibrys Viloria,25,75,.254,57,.242,.111,2.7%,38.7%,14.7%,88.4,37.1%,20.0%,51.4%,28.6%,1.06,25.7%,68.6%,5.7%,-0.6,0.0%,-1.7,42%,,75%,vilorme01
Steele Walker,25,16,.215,29,.000,.214,6.3%,25.0%,12.5%,88.2,40.0%,0.0%,50.0%,30.0%,1.00,50.0%,30.0%,20.0%,-0.2,-0.1%,-0.8,0%,,,walkest01
Eli White,28,117,.295,72,.290,.105,2.6%,35.0%,9.4%,78.0,29.2%,18.5%,27.7%,29.2%,0.47,23.1%,50.8%,26.2%,-0.3,-0.2%,-0.1,36%,92%,67%,whiteel04
League Average,,,.312,99,.289,.148,2.8%,22.2%,8.0%,88.2,38.6%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.7%,,,,30%,75%,41%,-9999
Team Total,,6029,.311,98,.287,.157,3.3%,24.0%,7.6%,88.5,39.5%,23.1%,40.5%,27.1%,0.70,31.0%,51.8%,17.2%,-3.3,-0.2%,9.6,31%,76%,44%,-9999
