
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.317,84,.286,.162,2.9%,23.7%,9.1%,88.5,38.2%,25.5%,43.3%,22.6%,0.79,29.4%,52.4%,18.2%,-2.5,-2.1%,-30.1,30%,76%,45%
Atlanta Braves,.330,98,.302,.161,2.8%,20.6%,8.2%,88.2,36.5%,26.0%,42.3%,23.1%,0.76,30.8%,51.1%,18.1%,2.5,2.3%,54.7,31%,71%,44%
Baltimore Orioles,.305,88,.286,.152,3.1%,23.4%,7.0%,88.7,38.9%,24.0%,44.2%,22.9%,0.81,27.4%,53.0%,19.7%,-19.2,-1.8%,-115.5,27%,79%,41%
Boston Red Sox,.350,113,.309,.185,3.3%,19.9%,9.0%,90.3,43.2%,25.2%,43.7%,23.5%,0.78,29.5%,51.9%,18.6%,15.0,6.8%,136.0,34%,80%,37%
Chicago Cubs,.330,96,.313,.152,2.6%,21.8%,9.0%,89.0,40.3%,25.4%,45.8%,20.1%,0.88,29.2%,52.1%,18.7%,0.3,-2.6%,44.1,30%,63%,43%
Chicago White Sox,.311,92,.304,.160,3.0%,26.3%,7.0%,88.6,39.4%,25.3%,44.8%,21.6%,0.83,28.1%,52.7%,19.3%,-9.2,-2.1%,-80.4,28%,71%,41%
Cincinnati Reds,.325,93,.307,.148,2.8%,22.1%,9.0%,87.3,34.3%,27.0%,40.4%,23.7%,0.71,27.6%,53.2%,19.2%,-6.5,-1.9%,-15.0,28%,70%,35%
Cleveland Indians,.339,106,.291,.176,3.4%,18.9%,8.8%,89.1,40.2%,26.3%,40.5%,24.3%,0.70,30.6%,52.8%,16.6%,-0.9,0.7%,73.3,31%,79%,41%
Colorado Rockies,.337,89,.304,.179,3.4%,22.6%,8.2%,89.2,40.4%,24.9%,45.5%,21.9%,0.87,26.9%,53.7%,19.5%,5.9,2.8%,30.4,32%,74%,47%
Detroit Tigers,.304,83,.293,.138,2.2%,22.2%,7.1%,87.8,36.5%,26.2%,42.5%,21.8%,0.76,28.5%,51.8%,19.7%,-10.8,-3.5%,-113.6,29%,70%,39%
Houston Astros,.333,107,.289,.170,3.3%,19.5%,9.2%,88.3,37.8%,24.2%,42.0%,24.4%,0.74,29.8%,54.0%,16.1%,3.2,3.1%,74.5,32%,73%,39%
Kansas City Royals,.311,89,.293,.146,2.6%,21.6%,7.0%,88.4,37.9%,25.8%,41.2%,24.3%,0.72,28.8%,52.8%,18.5%,-14.3,-2.3%,-103.5,29%,75%,41%
Los Angeles Angels,.320,98,.277,.171,3.5%,21.3%,8.4%,88.6,39.7%,25.3%,41.6%,24.2%,0.72,31.0%,52.8%,16.2%,-0.4,-0.3%,-4.6,29%,80%,42%
Los Angeles Dodgers,.344,111,.294,.191,3.7%,22.6%,10.2%,89.6,41.5%,25.2%,40.3%,25.2%,0.69,29.4%,52.7%,17.9%,2.4,5.9%,100.7,30%,76%,45%
Miami Marlins,.301,85,.293,.119,2.1%,22.8%,7.5%,87.6,35.3%,24.6%,47.3%,19.4%,0.93,25.4%,55.7%,18.9%,-10.5,-1.7%,-91.0,27%,59%,40%
Milwaukee Brewers,.335,100,.302,.172,3.5%,23.5%,8.7%,89.0,41.0%,24.5%,45.8%,21.8%,0.87,26.5%,54.4%,19.1%,7.4,6.5%,46.7,30%,79%,39%
Minnesota Twins,.317,94,.298,.155,2.7%,21.6%,8.7%,88.2,37.2%,25.2%,40.2%,25.2%,0.68,30.2%,52.1%,17.7%,-0.7,-2.4%,-0.2,32%,64%,46%
New York Mets,.315,97,.283,.154,2.8%,22.7%,9.2%,88.0,36.2%,23.7%,41.8%,24.4%,0.73,28.8%,53.2%,18.0%,-7.3,-1.3%,-8.5,29%,65%,44%
New York Yankees,.341,112,.285,.202,4.3%,22.7%,10.0%,89.8,41.4%,23.3%,41.8%,26.1%,0.73,29.2%,53.2%,17.6%,10.3,5.6%,120.1,32%,75%,41%
Oakland Athletics,.334,111,.294,.187,3.6%,22.1%,8.8%,89.9,42.3%,25.6%,40.1%,25.8%,0.67,28.6%,52.7%,18.7%,3.8,0.3%,86.7,32%,63%,45%
Philadelphia Phillies,.316,87,.289,.158,3.0%,24.8%,9.5%,88.6,39.2%,23.2%,42.5%,23.9%,0.76,30.5%,51.2%,18.2%,-5.6,-4.2%,-29.9,28%,73%,38%
Pittsburgh Pirates,.321,97,.298,.154,2.6%,20.3%,7.8%,88.4,37.8%,25.1%,43.6%,22.6%,0.80,27.9%,52.0%,20.1%,-1.0,0.1%,9.8,30%,65%,41%
San Diego Padres,.303,86,.294,.145,2.7%,25.1%,7.8%,88.7,37.7%,24.0%,46.2%,20.1%,0.89,27.8%,54.0%,18.1%,-9.6,-1.9%,-73.9,28%,73%,39%
