
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.331,97,.307,.159,2.7%,20.6%,8.8%,19.8%,41.6%,29.6%,0.74,27.1%,55.7%,17.3%,1.1,-1.0%,43.3,31%,65%,41%
Atlanta Braves,.320,88,.296,.142,2.4%,21.0%,9.3%,18.7%,44.7%,27.7%,0.85,27.8%,53.6%,18.6%,2.3,1.5%,10.6,30%,76%,43%
Baltimore Orioles,.321,95,.286,.170,3.5%,21.4%,7.8%,17.6%,44.2%,28.8%,0.82,30.2%,53.2%,16.6%,0.1,-0.1%,-20.1,29%,67%,39%
Boston Red Sox,.324,94,.301,.155,2.7%,19.4%,6.9%,18.5%,42.5%,30.3%,0.76,27.5%,54.8%,17.6%,-2.1,0.1%,3.4,32%,76%,42%
Chicago Cubs,.310,83,.286,.138,2.3%,20.7%,7.5%,19.8%,45.0%,26.8%,0.85,27.8%,54.6%,17.6%,-9.9,-1.4%,-71.1,29%,68%,44%
Chicago White Sox,.329,98,.289,.167,3.5%,19.7%,7.5%,20.3%,42.1%,27.6%,0.75,29.2%,52.2%,18.6%,0.3,-2.2%,23.9,30%,72%,39%
Cincinnati Reds,.326,91,.296,.159,2.8%,20.7%,7.9%,19.3%,42.1%,28.3%,0.77,26.3%,56.8%,16.9%,4.0,5.0%,-23.7,28%,76%,42%
Cleveland Indians,.318,101,.288,.131,2.2%,17.6%,9.0%,19.5%,46.5%,25.8%,0.89,29.7%,54.7%,15.7%,-2.6,0.9%,-28.1,28%,71%,36%
Colorado Rockies,.341,92,.321,.163,2.7%,19.6%,7.3%,20.7%,45.4%,25.1%,0.88,26.5%,56.8%,16.7%,-0.7,0.7%,22.8,32%,71%,45%
Detroit Tigers,.334,102,.307,.154,2.7%,18.0%,8.4%,19.0%,44.3%,29.3%,0.82,25.3%,55.8%,18.9%,2.4,2.4%,8.5,30%,72%,38%
Houston Astros,.307,81,.288,.135,2.4%,22.7%,7.7%,18.4%,45.0%,26.9%,0.86,28.1%,55.1%,16.8%,-13.6,-1.6%,-104.3,26%,70%,39%
Kansas City Royals,.318,91,.302,.135,2.1%,16.8%,6.6%,18.5%,45.7%,26.7%,0.87,26.1%,56.6%,17.3%,-8.4,-2.4%,-48.4,30%,78%,40%
Los Angeles Angels of Anaheim,.341,116,.311,.159,3.1%,18.2%,7.3%,17.0%,46.6%,26.8%,0.92,28.7%,53.5%,17.9%,8.9,6.4%,84.7,31%,80%,49%
Los Angeles Dodgers,.312,89,.298,.122,1.9%,19.0%,7.9%,19.4%,45.0%,25.0%,0.87,25.4%,56.2%,18.4%,-3.2,-4.8%,-32.0,29%,70%,39%
Miami Marlins,.311,81,.289,.138,2.3%,20.3%,8.0%,19.1%,43.7%,27.2%,0.82,26.9%,55.7%,17.4%,-7.8,-2.1%,-84.6,27%,78%,40%
Milwaukee Brewers,.342,101,.299,.177,3.2%,19.9%,7.5%,17.8%,43.5%,27.5%,0.82,26.0%,55.8%,18.2%,6.6,-0.2%,71.5,32%,80%,38%
Minnesota Twins,.323,99,.298,.130,2.1%,17.2%,8.1%,16.8%,48.3%,25.8%,0.98,26.3%,56.5%,17.2%,-4.3,-0.9%,-12.5,30%,78%,40%
New York Mets,.316,93,.298,.137,2.3%,20.5%,8.3%,19.3%,44.5%,27.2%,0.84,26.1%,56.4%,17.6%,-1.0,3.5%,-19.3,29%,68%,42%
New York Yankees,.349,113,.293,.188,3.9%,18.9%,9.1%,18.8%,45.4%,27.1%,0.85,29.0%,54.5%,16.5%,8.6,9.5%,83.8,30%,78%,37%
Oakland Athletics,.319,99,.281,.166,3.2%,22.4%,8.9%,19.3%,39.3%,30.4%,0.66,28.9%,54.7%,16.4%,1.1,6.6%,12.4,30%,79%,43%
Philadelphia Phillies,.323,89,.290,.144,2.6%,17.7%,7.4%,18.0%,46.5%,25.6%,0.92,30.7%,52.4%,17.0%,-0.6,-1.6%,-9.0,29%,83%,40%
Pittsburgh Pirates,.313,93,.291,.152,2.8%,22.5%,7.4%,16.9%,44.5%,28.8%,0.84,27.2%,55.4%,17.4%,-2.5,0.7%,-19.8,29%,58%,42%
San Diego Padres,.319,99,.297,.133,2.0%,20.3%,8.8%,18.0%,47.1%,25.7%,0.95,25.8%,56.8%,17.4%,-0.3,-1.9%,-2.7,29%,77%,43%
Seattle Mariners,.300,90,.276,.135,2.5%,20.8%,7.7%,20.0%,42.4%,26.5%,0.76,27.9%,54.7%,17.4%,-10.6,-2.5%,-76.0,28%,75%,38%
San Francisco Giants,.326,107,.315,.128,1.7%,17.7%,7.8%,20.0%,45.7%,25.2%,0.88,26.6%,54.1%,19.3%,9.1,5.6%,75.2,32%,75%,36%
St. Louis Cardinals,.340,108,.316,.150,2.5%,18.8%,8.4%,20.5%,46.7%,24.6%,0.92,25.0%,56.3%,18.6%,4.4,2.6%,78.2,31%,71%,41%
Tampa Bay Rays,.318,99,.284,.155,2.9%,21.7%,9.4%,17.3%,42.3%,29.4%,0.76,31.7%,54.8%,13.5%,-5.0,-6.4%,-4.3,29%,75%,40%
Texas Rangers,.344,105,.306,.173,3.2%,17.7%,7.7%,18.7%,44.3%,28.9%,0.82,25.9%,54.9%,19.1%,3.1,3.6%,81.5,32%,67%,40%
Toronto Blue Jays,.320,93,.281,.161,3.3%,20.5%,7.8%,18.4%,43.5%,28.0%,0.79,28.2%,54.8%,17.0%,-4.5,0.1%,-9.1,30%,75%,46%
Washington Nationals,.335,101,.308,.166,3.1%,21.3%,7.7%,19.4%,44.7%,26.7%,0.85,27.3%,54.2%,18.6%,5.9,4.0%,37.4,29%,75%,38%
