
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.332,96,.316,.150,2.5%,20.9%,7.8%,89.0,39.2%,29.1%,47.1%,16.1%,0.94,24.9%,54.5%,20.6%,-2.0,-1.1%,24.2,30%,75%,40%
Atlanta Braves,.306,86,.297,.108,1.7%,18.4%,7.8%,87.1,34.3%,25.7%,48.9%,17.6%,1.01,25.9%,53.5%,20.6%,-6.9,-2.6%,-84.4,26%,68%,40%
Baltimore Orioles,.322,96,.291,.171,3.6%,22.2%,7.0%,89.3,40.6%,26.5%,43.5%,21.2%,0.79,30.1%,52.1%,17.8%,-3.7,-3.9%,10.6,30%,64%,37%
Boston Red Sox,.330,98,.305,.149,2.6%,18.4%,7.7%,89.0,38.2%,23.8%,47.2%,20.9%,0.91,26.4%,54.8%,18.8%,-3.4,-3.2%,23.7,31%,72%,37%
Chicago Cubs,.323,97,.305,.154,2.8%,24.5%,9.2%,88.4,38.2%,26.5%,42.9%,22.2%,0.78,29.6%,52.0%,18.4%,5.0,1.6%,28.3,28%,72%,45%
Chicago White Sox,.307,92,.296,.130,2.2%,20.3%,6.7%,88.1,37.1%,25.8%,48.9%,17.2%,0.99,27.3%,52.3%,20.3%,-8.4,-2.9%,-69.5,28%,62%,37%
Cincinnati Reds,.319,91,.290,.146,2.7%,20.3%,8.0%,87.0,32.0%,29.1%,43.0%,19.5%,0.79,26.3%,53.7%,20.0%,-11.1,-2.4%,-41.9,27%,78%,33%
Cleveland Indians,.322,91,.299,.144,2.3%,18.9%,8.7%,88.6,39.6%,26.4%,44.6%,20.1%,0.84,31.1%,51.5%,17.5%,-6.6,-3.1%,-46.4,29%,75%,38%
Colorado Rockies,.332,86,.313,.167,3.1%,21.1%,6.4%,88.7,39.5%,29.4%,44.2%,17.3%,0.82,25.4%,55.3%,19.3%,2.3,0.0%,18.5,32%,69%,46%
Detroit Tigers,.328,105,.322,.150,2.5%,20.4%,7.4%,88.7,39.4%,26.6%,42.8%,23.0%,0.77,24.6%,54.0%,21.4%,-1.2,-1.3%,-13.3,28%,62%,34%
Houston Astros,.332,108,.292,.187,3.8%,22.9%,8.0%,89.2,40.3%,25.6%,41.5%,23.6%,0.73,30.7%,50.9%,18.4%,1.2,1.4%,43.4,29%,72%,43%
Kansas City Royals,.326,97,.301,.144,2.3%,15.9%,6.3%,88.4,38.0%,25.5%,44.7%,21.3%,0.83,27.3%,53.6%,19.2%,4.5,1.8%,13.6,32%,75%,44%
Los Angeles Angels of Anaheim,.311,97,.280,.150,2.9%,19.2%,7.3%,88.2,35.1%,27.1%,45.1%,19.3%,0.85,27.6%,52.4%,20.1%,-0.6,-0.3%,-13.1,28%,60%,44%
Los Angeles Dodgers,.329,106,.292,.163,3.1%,20.7%,9.2%,88.9,40.5%,28.4%,43.4%,19.5%,0.80,27.8%,54.0%,18.2%,2.9,2.2%,17.3,27%,63%,37%
Miami Marlins,.311,90,.307,.124,2.0%,19.2%,6.3%,88.6,37.0%,25.1%,51.3%,15.4%,1.13,23.4%,54.5%,22.1%,-3.7,-1.6%,-39.1,28%,71%,39%
Milwaukee Brewers,.314,88,.303,.142,2.4%,21.6%,6.8%,88.4,37.9%,27.1%,47.2%,17.8%,0.93,24.0%,52.6%,23.4%,-6.8,-1.7%,-17.9,30%,74%,43%
Minnesota Twins,.313,92,.292,.152,2.6%,21.0%,7.3%,88.5,37.2%,24.2%,44.4%,22.4%,0.83,27.7%,54.0%,18.3%,-1.6,-2.8%,-7.0,32%,65%,37%
New York Mets,.320,97,.287,.156,2.9%,21.0%,7.9%,89.2,39.2%,27.4%,42.3%,21.8%,0.75,27.8%,52.7%,19.5%,0.2,-0.2%,22.4,29%,67%,40%
New York Yankees,.329,103,.283,.170,3.4%,19.6%,8.8%,88.6,38.6%,25.0%,42.0%,23.4%,0.74,34.4%,50.4%,15.1%,-1.7,-1.0%,58.1,30%,72%,34%
Oakland Athletics,.316,96,.288,.144,2.4%,18.1%,7.7%,87.7,34.1%,26.7%,45.6%,19.1%,0.85,29.1%,51.2%,19.7%,-5.2,-1.4%,1.7,31%,73%,36%
Philadelphia Phillies,.311,90,.299,.133,2.2%,21.1%,6.4%,87.6,34.3%,28.0%,45.1%,18.0%,0.87,28.7%,54.0%,17.2%,-6.3,-2.1%,-39.5,29%,73%,38%
Pittsburgh Pirates,.323,96,.314,.136,2.2%,21.0%,7.3%,88.7,39.9%,26.5%,47.2%,18.7%,0.94,26.3%,55.1%,18.6%,1.7,0.5%,19.1,29%,69%,41%
