
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.339,93,.306,.190,3.5%,23.4%,9.3%,88.2,40.3%,25.5%,44.8%,22.0%,0.84,27.4%,54.7%,17.9%,0.1,-0.6%,48.4,32%,77%,45%
Atlanta Braves,.325,90,.305,.150,2.7%,19.1%,7.6%,86.8,33.6%,25.5%,46.1%,20.9%,0.90,27.6%,53.5%,19.0%,-1.9,0.1%,-11.8,30%,71%,45%
Baltimore Orioles,.326,100,.306,.175,3.8%,23.0%,6.4%,88.6,41.1%,25.7%,43.9%,21.6%,0.79,29.3%,52.7%,18.0%,-2.1,-0.1%,-11.1,30%,71%,37%
Boston Red Sox,.326,91,.300,.149,2.7%,19.3%,9.0%,87.4,36.1%,25.1%,45.4%,20.8%,0.84,27.2%,53.9%,18.9%,-2.4,-1.4%,-6.1,32%,77%,43%
Chicago Cubs,.341,100,.302,.182,3.6%,22.3%,9.9%,87.6,38.8%,24.6%,44.8%,21.8%,0.84,31.9%,51.2%,16.9%,1.8,2.5%,69.7,32%,67%,42%
Chicago White Sox,.322,97,.309,.161,3.1%,23.1%,6.6%,87.1,36.6%,24.4%,46.8%,20.6%,0.91,27.9%,52.5%,19.7%,-6.7,-2.1%,-42.8,30%,70%,39%
Cincinnati Reds,.334,96,.294,.179,3.5%,21.4%,9.1%,85.5,30.8%,25.1%,42.1%,23.0%,0.76,29.4%,52.3%,18.3%,-6.0,-1.2%,4.2,29%,75%,33%
Cleveland Indians,.344,103,.295,.186,3.4%,18.5%,9.7%,88.3,39.5%,25.5%,42.9%,23.1%,0.77,31.6%,51.8%,16.6%,-1.3,-2.9%,48.4,31%,79%,38%
Colorado Rockies,.341,88,.332,.171,3.1%,22.7%,8.4%,86.9,35.4%,25.8%,45.5%,20.9%,0.87,25.8%,54.3%,19.9%,-2.5,-0.9%,30.2,33%,63%,44%
Detroit Tigers,.328,98,.306,.166,3.0%,21.4%,8.2%,87.7,39.0%,27.7%,42.8%,22.8%,0.75,26.7%,52.1%,21.2%,-6.5,-0.6%,-28.2,30%,66%,37%
Houston Astros,.357,126,.309,.196,3.8%,17.3%,8.1%,88.4,39.3%,24.8%,43.8%,23.0%,0.79,29.1%,53.4%,17.5%,13.6,5.5%,166.7,34%,70%,39%
Kansas City Royals,.321,91,.295,.160,3.2%,19.4%,6.5%,87.8,36.6%,27.6%,41.1%,22.4%,0.71,27.5%,53.3%,19.2%,-2.6,-0.8%,-58.0,30%,75%,40%
Los Angeles Angels,.316,92,.277,.155,3.1%,19.7%,8.6%,87.1,35.8%,23.3%,46.3%,22.5%,0.88,29.7%,53.0%,17.3%,-1.1,-1.8%,-32.0,30%,76%,42%
Los Angeles Dodgers,.337,104,.293,.188,3.6%,22.3%,10.5%,88.5,40.1%,25.0%,42.8%,24.6%,0.77,29.4%,52.3%,18.3%,6.8,3.7%,47.6,30%,73%,38%
Miami Marlins,.332,107,.313,.163,3.1%,20.5%,7.8%,87.2,35.9%,24.1%,48.7%,18.6%,1.00,26.6%,54.4%,19.0%,4.4,0.1%,65.4,31%,75%,39%
Milwaukee Brewers,.330,93,.308,.180,3.7%,25.6%,8.9%,87.2,37.0%,25.2%,45.2%,21.7%,0.86,27.6%,52.7%,19.6%,-0.6,-3.2%,-15.9,29%,76%,35%
