
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.308,85,.295,.146,2.3%,23.8%,8.7%,86.9,35.8%,23.6%,42.5%,25.0%,0.76,29.2%,52.3%,18.5%,-10.4,-1.1%,-66.9,30%,73%,43%
Atlanta Braves,.330,96,.288,.191,4.0%,24.0%,9.1%,88.7,40.9%,24.1%,40.1%,27.9%,0.68,29.5%,54.3%,16.2%,-0.9,0.5%,41.9,33%,76%,44%
Baltimore Orioles,.308,90,.290,.163,3.3%,24.3%,7.5%,87.8,36.9%,23.9%,41.4%,25.6%,0.72,28.6%,53.1%,18.3%,-12.6,-2.7%,-99.8,28%,70%,39%
Boston Red Sox,.337,105,.309,.188,3.6%,22.6%,8.4%,89.6,42.6%,25.0%,40.5%,26.4%,0.69,28.0%,52.8%,19.2%,5.8,4.8%,56.0,34%,66%,41%
Chicago Cubs,.320,93,.296,.171,3.5%,26.7%,8.4%,87.7,39.0%,21.7%,44.2%,25.7%,0.82,29.2%,53.5%,17.3%,-4.5,-4.5%,-30.4,30%,70%,40%
Chicago White Sox,.336,108,.310,.166,3.1%,22.8%,9.6%,88.6,39.9%,24.2%,45.9%,23.5%,0.86,27.2%,54.1%,18.7%,4.1,3.3%,59.6,32%,74%,44%
Cincinnati Reds,.334,94,.296,.182,3.6%,23.1%,9.0%,87.6,38.2%,24.0%,41.8%,26.6%,0.74,30.1%,52.4%,17.5%,-5.1,-4.8%,-1.4,31%,60%,35%
Cleveland Indians,.314,94,.282,.169,3.4%,23.5%,7.7%,88.2,38.9%,23.6%,43.4%,24.2%,0.78,28.4%,54.2%,17.4%,-4.6,-2.2%,-28.7,32%,87%,43%
Colorado Rockies,.323,82,.299,.165,3.0%,22.6%,8.2%,86.5,36.2%,22.7%,44.0%,25.3%,0.82,25.0%,56.0%,19.0%,-3.5,-1.2%,-30.8,32%,77%,45%
Detroit Tigers,.311,96,.300,.158,3.0%,25.3%,8.2%,87.9,38.2%,24.8%,41.5%,26.5%,0.72,29.1%,51.9%,19.0%,-6.7,-2.6%,-46.0,31%,78%,41%
Houston Astros,.341,113,.303,.177,3.5%,19.4%,9.0%,89.1,40.9%,25.2%,40.6%,26.6%,0.69,29.1%,54.2%,16.7%,4.6,4.2%,106.6,33%,77%,36%
Kansas City Royals,.310,88,.292,.147,2.7%,21.0%,7.0%,88.2,39.2%,22.9%,42.8%,26.3%,0.77,29.0%,54.7%,16.3%,-4.4,-1.8%,-77.8,31%,79%,39%
Los Angeles Angels,.312,90,.294,.162,3.2%,23.2%,7.7%,87.0,35.4%,24.3%,42.7%,24.6%,0.77,28.6%,53.0%,18.4%,-4.0,-0.9%,-29.5,32%,75%,41%
Los Angeles Dodgers,.335,100,.284,.185,3.8%,22.6%,9.8%,88.9,40.4%,22.8%,40.0%,29.8%,0.68,29.9%,53.6%,16.6%,3.3,1.5%,83.1,33%,79%,39%
Miami Marlins,.300,78,.296,.139,2.7%,26.2%,7.6%,87.3,37.2%,22.9%,45.3%,23.5%,0.85,26.6%,54.7%,18.7%,-14.5,-4.5%,-113.4,28%,79%,41%
Milwaukee Brewers,.319,92,.283,.163,3.2%,24.0%,9.6%,87.8,38.4%,23.0%,43.3%,25.8%,0.78,29.1%,53.4%,17.5%,-2.4,-1.3%,-9.3,31%,80%,42%
