
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.329,93,.293,.182,3.5%,21.5%,8.6%,88.1,37.5%,24.4%,43.0%,24.2%,0.78,29.8%,52.9%,17.3%,-1.8,-2.7%,38.0,32%,86%,44%
Atlanta Braves,.342,98,.305,.195,4.0%,23.3%,9.8%,89.6,41.7%,27.4%,40.3%,25.0%,0.69,30.7%,50.5%,18.8%,7.1,6.5%,80.4,32%,76%,45%
Baltimore Orioles,.316,90,.293,.168,3.4%,23.2%,7.5%,88.0,36.7%,24.4%,43.6%,22.7%,0.80,29.9%,53.1%,17.1%,-11.5,-2.3%,-80.7,30%,74%,40%
Boston Red Sox,.347,107,.313,.197,3.8%,21.3%,9.1%,90.3,44.7%,24.7%,43.0%,24.9%,0.76,28.5%,52.8%,18.7%,1.3,1.1%,77.7,33%,69%,44%
Chicago Cubs,.337,101,.297,.200,4.1%,23.6%,9.4%,89.2,40.2%,24.6%,45.3%,22.3%,0.85,28.6%,52.9%,18.5%,1.7,1.2%,52.6,31%,65%,44%
Chicago White Sox,.318,94,.329,.153,3.0%,25.6%,6.3%,89.3,40.8%,25.9%,45.6%,20.8%,0.86,27.2%,52.9%,20.0%,-4.6,-0.3%,-70.2,30%,69%,40%
Cincinnati Reds,.320,83,.288,.178,3.7%,23.5%,8.1%,87.6,35.8%,24.7%,41.5%,24.9%,0.73,28.7%,51.2%,20.1%,-13.3,-4.6%,-79.4,28%,68%,38%
Cleveland Indians,.326,93,.289,.183,3.6%,21.8%,9.2%,89.6,41.0%,23.7%,42.3%,24.6%,0.76,31.5%,51.6%,17.0%,-2.5,-2.8%,-30.8,31%,75%,42%
Colorado Rockies,.337,86,.321,.190,3.6%,23.9%,7.8%,88.5,38.6%,26.2%,41.9%,23.4%,0.75,27.0%,53.4%,19.6%,-2.1,0.3%,10.3,34%,70%,46%
Detroit Tigers,.297,76,.308,.148,2.5%,26.4%,6.5%,88.4,39.4%,26.4%,41.7%,23.7%,0.73,27.4%,53.5%,19.1%,-21.5,-3.1%,-228.9,26%,74%,42%
Houston Astros,.360,119,.296,.221,4.5%,18.2%,10.1%,88.7,39.5%,25.6%,41.0%,24.2%,0.71,30.5%,53.1%,16.5%,6.6,3.1%,119.5,32%,71%,33%
Kansas City Royals,.310,84,.301,.154,2.7%,23.1%,7.5%,88.1,36.3%,25.0%,43.8%,22.7%,0.80,28.6%,52.7%,18.7%,-12.4,-1.4%,-113.1,31%,75%,40%
Los Angeles Angels,.324,96,.281,.175,3.5%,20.4%,9.4%,88.4,37.4%,25.1%,43.1%,23.4%,0.76,31.8%,51.1%,17.2%,-5.7,-0.8%,-32.3,30%,76%,37%
Los Angeles Dodgers,.347,111,.291,.215,4.4%,21.6%,9.7%,89.6,42.0%,25.3%,40.1%,25.7%,0.69,31.0%,51.6%,17.4%,11.9,5.2%,139.0,33%,85%,40%
Miami Marlins,.297,76,.300,.134,2.4%,24.3%,6.5%,88.5,38.3%,23.8%,48.1%,21.3%,0.95,24.1%,55.8%,20.1%,-17.5,-3.1%,-147.7,28%,65%,36%
Milwaukee Brewers,.332,96,.296,.192,4.0%,24.8%,10.0%,90.1,43.5%,24.5%,43.4%,24.4%,0.78,27.5%,52.8%,19.6%,1.0,-0.9%,-4.0,28%,80%,39%
Minnesota Twins,.353,118,.300,.224,4.8%,20.9%,8.2%,90.2,43.3%,26.7%,38.4%,26.0%,0.63,31.6%,51.9%,16.5%,10.0,7.1%,147.8,34%,57%,40%
New York Mets,.334,106,.299,.185,3.9%,22.0%,8.2%,89.3,41.0%,25.3%,44.5%,22.5%,0.83,27.3%,54.0%,18.7%,3.6,0.1%,45.9,30%,67%,38%
New York Yankees,.352,118,.306,.222,4.9%,23.0%,9.1%,90.5,44.2%,25.4%,41.7%,24.9%,0.72,27.5%,54.1%,18.4%,13.6,8.4%,171.7,35%,71%,40%
Oakland Athletics,.335,110,.282,.199,4.1%,21.3%,9.2%,89.8,42.2%,24.9%,41.2%,25.4%,0.71,30.1%,52.1%,17.8%,7.0,5.9%,71.6,33%,70%,42%
Philadelphia Phillies,.324,90,.293,.181,3.4%,23.2%,9.0%,89.1,40.5%,24.8%,42.0%,22.9%,0.75,28.4%,53.4%,18.3%,-1.7,-0.1%,0.2,31%,81%,40%
Pittsburgh Pirates,.323,94,.309,.156,2.6%,19.5%,6.8%,88.5,37.6%,25.5%,46.1%,20.7%,0.88,27.0%,53.1%,19.9%,-0.5,-0.3%,-4.1,32%,69%,42%
San Diego Padres,.312,89,.293,.172,3.6%,26.3%,8.4%,89.1,40.7%,22.4%,45.3%,22.4%,0.86,27.3%,54.7%,18.0%,-10.3,-2.7%,-62.4,28%,65%,45%
Seattle Mariners,.321,100,.287,.187,3.9%,25.5%,9.5%,87.6,35.5%,24.9%,40.5%,25.5%,0.69,29.5%,51.5%,19.0%,-3.2,0.2%,-18.8,30%,71%,40%
San Francisco Giants,.304,83,.290,.153,2.7%,23.3%,7.7%,87.9,38.8%,25.6%,42.5%,23.7%,0.76,28.7%,52.2%,19.2%,-11.0,-4.0%,-84.6,30%,63%,41%
St. Louis Cardinals,.327,96,.292,.170,3.4%,23.0%,9.1%,87.9,37.5%,24.9%,40.8%,24.5%,0.71,28.1%,54.6%,17.3%,0.7,2.0%,19.9,31%,80%,43%
Tampa Bay Rays,.327,102,.306,.178,3.5%,23.8%,8.6%,89.8,42.1%,25.6%,44.5%,22.6%,0.81,28.3%,52.5%,19.3%,-2.1,-1.1%,-15.6,30%,72%,41%
Texas Rangers,.328,88,.304,.183,3.6%,25.4%,8.6%,89.7,42.3%,25.6%,42.9%,23.1%,0.77,28.7%,52.7%,18.7%,-3.8,-1.1%,-21.4,33%,78%,41%
Toronto Blue Jays,.316,93,.280,.192,4.1%,24.9%,8.4%,89.1,40.5%,24.4%,39.9%,25.9%,0.67,30.9%,52.8%,16.3%,-10.1,-3.3%,-65.6,29%,72%,38%
Washington Nationals,.346,104,.306,.190,3.7%,20.9%,9.3%,88.7,41.0%,25.0%,40.4%,24.5%,0.71,29.6%,52.4%,18.0%,8.9,4.9%,113.5,34%,80%,41%
