
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.330,96,.294,.163,2.8%,20.5%,8.7%,18.1%,40.6%,30.6%,0.71,28.0%,55.2%,16.8%,7.4,5.5%,64.4,31%,71%,43%
Atlanta Braves,.316,88,.284,.144,2.8%,20.4%,8.2%,14.9%,44.8%,29.3%,0.86,31.3%,51.6%,17.1%,-3.4,-5.9%,-30.1,27%,64%,46%
Baltimore Orioles,.326,96,.288,.156,3.1%,18.2%,7.3%,17.2%,43.8%,30.6%,0.80,28.0%,54.6%,17.3%,-2.3,-1.8%,-25.5,29%,76%,42%
Boston Red Sox,.358,116,.314,.181,3.2%,17.3%,9.0%,18.0%,43.2%,31.0%,0.77,29.1%,54.0%,16.8%,5.8,4.0%,137.2,33%,71%,39%
Chicago Cubs,.326,94,.301,.144,2.4%,19.6%,6.9%,20.2%,43.8%,26.4%,0.82,28.5%,54.8%,16.7%,0.5,0.3%,-12.0,28%,75%,35%
Chicago White Sox,.317,87,.280,.136,2.5%,16.1%,7.7%,18.8%,42.6%,27.3%,0.78,30.2%,52.8%,17.1%,-10.1,-5.1%,-92.7,27%,60%,37%
Cincinnati Reds,.334,99,.297,.152,2.9%,19.8%,8.5%,19.5%,43.3%,27.3%,0.80,26.9%,56.2%,16.9%,4.0,1.2%,53.8,29%,66%,42%
Cleveland Indians,.318,99,.297,.146,2.5%,20.7%,8.0%,18.8%,44.8%,27.7%,0.83,27.9%,58.0%,14.1%,-1.8,-4.2%,2.0,30%,68%,41%
Colorado Rockies,.336,87,.300,.152,2.6%,19.1%,8.8%,19.3%,43.5%,26.7%,0.82,26.0%,56.7%,17.3%,-3.9,-1.1%,12.5,30%,74%,44%
Detroit Tigers,.344,110,.318,.157,2.7%,18.3%,8.4%,19.8%,40.7%,30.2%,0.71,28.6%,53.4%,18.0%,7.0,3.7%,71.0,31%,71%,36%
Florida Marlins,.321,91,.291,.142,2.4%,20.0%,8.7%,20.2%,43.0%,25.7%,0.80,27.1%,56.0%,16.9%,-5.4,-0.5%,-51.2,26%,70%,40%
Houston Astros,.313,87,.308,.116,1.5%,18.9%,6.5%,20.0%,44.5%,25.3%,0.85,26.9%,56.2%,16.9%,-8.5,0.1%,-45.1,29%,78%,34%
Kansas City Royals,.334,104,.311,.140,2.1%,16.1%,7.1%,17.9%,44.7%,27.7%,0.84,25.4%,57.9%,16.7%,-3.5,-1.4%,7.7,31%,73%,38%
Los Angeles Angels of Anaheim,.322,103,.288,.149,2.6%,17.8%,7.3%,15.7%,43.4%,29.4%,0.81,27.3%,57.0%,15.8%,-3.2,-3.8%,-24.6,29%,72%,48%
Los Angeles Dodgers,.317,93,.299,.118,1.9%,17.8%,8.2%,18.0%,43.8%,28.0%,0.83,23.9%,57.4%,18.7%,-2.6,-1.5%,1.1,29%,76%,43%
Milwaukee Brewers,.338,102,.293,.164,3.0%,17.7%,7.9%,18.7%,44.7%,26.5%,0.85,28.6%,54.1%,17.3%,10.2,8.2%,57.0,30%,75%,41%
Minnesota Twins,.304,83,.288,.113,1.7%,17.4%,7.3%,15.5%,47.7%,26.6%,0.95,26.3%,56.6%,17.1%,-8.8,-2.4%,-90.9,29%,70%,44%
