--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Lane Adams,24,3,.000,-141,.000,.000,0.0%,66.7%,0.0%,0.0%,0.0%,100.0%,0.00,100.0%,0.0%,0.0%,0.0,-0.1%,-1.0,25%,,50%,adamsla01
Nori Aoki,32,549,.329,102,.314,.075,0.2%,8.9%,7.8%,23.1%,59.4%,10.2%,1.68,20.4%,55.4%,24.2%,0.7,1.3%,9.4,33%,68%,44%,aokino01
Billy Butler,28,603,.316,93,.310,.107,1.5%,15.9%,6.8%,23.9%,51.2%,20.6%,1.05,19.9%,61.3%,18.8%,0.0,0.2%,1.9,26%,,10%,butlebi03
Lorenzo Cain,28,502,.342,105,.380,.110,1.0%,21.5%,4.8%,26.2%,51.4%,16.4%,1.06,24.4%,57.3%,18.3%,-0.5,-0.1%,7.9,30%,85%,55%,cainlo01
Pedro Ciriaco,28,49,.254,30,.263,.043,0.0%,18.4%,0.0%,23.1%,41.0%,23.1%,0.80,28.2%,66.7%,5.1%,-0.4,-0.3%,-4.7,35%,100%,40%,ciriape01
Christian Colón,25,49,.403,151,.366,.156,0.0%,8.2%,6.1%,28.6%,47.6%,7.1%,1.05,28.6%,42.9%,28.6%,0.6,0.7%,5.1,38%,100%,43%,colonch01
Danny Duffy,25,7,.152,-50,.000,.000,0.0%,42.9%,0.0%,0.0%,75.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.5,,,,duffyda01
Jarrod Dyson,29,290,.315,77,.330,.058,0.3%,17.9%,7.6%,15.7%,56.5%,13.9%,1.65,17.7%,65.6%,16.7%,-0.5,-0.1%,0.9,29%,84%,56%,dysonja01
Alcides Escobar,27,620,.322,91,.326,.092,0.5%,13.4%,3.7%,26.0%,42.7%,19.1%,0.80,28.2%,53.7%,18.1%,-1.0,-1.3%,-9.7,37%,84%,57%,escobal02
Johnny Giavotella,26,41,.278,73,.219,.108,2.4%,12.2%,2.4%,18.2%,54.5%,27.3%,1.20,30.3%,51.5%,18.2%,0.3,0.4%,1.0,70%,0%,43%,giavojo01
Alex Gordon,30,643,.354,119,.310,.165,3.0%,19.6%,10.1%,22.2%,44.0%,28.1%,0.79,31.5%,55.7%,12.8%,2.9,2.2%,23.4,33%,80%,52%,gordoal01
Terrance Gore,23,2,1.006,138,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.1,0.1%,1.8,50%,100%,100%,gorete01
Jeremy Guthrie,35,7,.121,-77,.000,.000,0.0%,14.3%,0.0%,0.0%,40.0%,20.0%,1.00,20.0%,60.0%,20.0%,-0.2,-0.1%,-1.7,0%,,100%,guthrje01
Brett Hayes,30,53,.159,-24,.154,.077,1.9%,22.6%,1.9%,15.0%,47.5%,22.5%,0.90,27.5%,52.5%,20.0%,-0.7,-0.5%,-8.1,22%,,0%,hayesbr01
Eric Hosmer,24,547,.316,93,.312,.127,1.7%,17.0%,6.4%,22.1%,50.7%,21.2%,1.04,26.1%,59.7%,14.3%,0.2,0.7%,5.3,27%,67%,32%,hosmeer01
Raul Ibanez,42,90,.275,62,.210,.138,2.2%,17.8%,11.1%,25.0%,42.2%,18.8%,0.73,43.8%,46.9%,9.4%,-0.3,-0.7%,-6.3,22%,,0%,ibanera01
Omar Infante,32,575,.286,69,.275,.085,1.0%,11.8%,5.7%,24.4%,38.6%,26.1%,0.64,24.0%,61.2%,14.8%,-0.6,-0.7%,-6.8,27%,75%,48%,infanom01
Erik Kratz,34,31,.334,106,.333,.241,6.5%,32.3%,3.2%,30.0%,35.0%,30.0%,0.54,45.0%,30.0%,25.0%,-0.4,-0.6%,-1.2,29%,,33%,kratzer01
Justin Maxwell,30,45,.182,1,.286,.025,0.0%,44.4%,4.4%,9.5%,61.9%,23.8%,1.63,47.6%,38.1%,14.3%,-0.6,-0.4%,-4.3,29%,0%,100%,maxweju01
Mike Moustakas,25,500,.290,73,.220,.149,3.0%,14.8%,7.0%,24.0%,39.9%,22.9%,0.67,37.5%,50.3%,12.2%,-0.9,-1.4%,-14.7,25%,100%,33%,moustmi01
Jayson Nix,31,9,.000,-141,.000,.000,0.0%,66.7%,0.0%,33.3%,66.7%,0.0%,2.00,33.3%,66.7%,0.0%,-0.4,-0.6%,-2.5,0%,,,nixja01
