--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Dustin Ackley,25,427,.298,91,.301,.089,0.9%,16.9%,8.7%,24.3%,49.8%,19.9%,1.03,23.3%,52.7%,24.0%,-1.7,-0.6%,-3.2,27%,40%,44%,ackledu01
Abraham Almonte,24,82,.306,93,.333,.139,2.4%,25.6%,7.3%,16.4%,40.0%,18.2%,0.92,29.1%,49.1%,21.8%,-0.3,0.0%,-3.9,30%,100%,100%,almonab01
Robert Andino,29,85,.234,40,.286,.053,0.0%,31.8%,8.2%,19.6%,49.0%,25.5%,1.04,25.5%,49.0%,25.5%,-0.7,-0.5%,-6.3,22%,,57%,andinro01
Brandon Bantz,26,2,.000,-131,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.3,,,,bantzbr01
Jason Bay,34,236,.313,99,.231,.189,4.7%,26.3%,11.0%,19.9%,41.1%,32.2%,0.71,41.1%,50.0%,8.9%,0.0,0.0%,-5.0,30%,75%,30%,bayja01
Henry Blanco,41,107,.211,25,.134,.115,2.8%,24.3%,9.4%,21.4%,32.9%,24.3%,0.49,28.6%,54.3%,17.1%,-0.2,0.0%,-4.4,25%,,33%,blanche01
Jeremy Bonderman,30,2,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.6,,,,bondeje01
Endy Chavez,35,279,.278,77,.295,.060,0.7%,11.1%,3.2%,24.3%,51.5%,15.9%,1.14,16.3%,63.2%,20.5%,-1.4,-0.2%,-16.2,23%,25%,24%,chaveen01
Nick Franklin,22,412,.308,94,.290,.157,2.9%,27.4%,10.2%,28.4%,33.9%,30.0%,0.52,26.8%,49.4%,23.7%,-0.7,0.0%,-2.5,22%,86%,35%,frankni01
Franklin Gutierrez,30,151,.344,122,.283,.255,6.6%,28.5%,3.3%,13.6%,44.7%,30.1%,0.82,35.9%,48.5%,15.5%,-0.7,0.1%,-0.5,26%,75%,100%,gutiefr01
Aaron Harang,35,4,.000,-131,.000,.000,0.0%,75.0%,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.6,,,,haranaa01
Félix Hernández,27,6,.116,-46,.000,.000,0.0%,50.0%,16.7%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.7,100%,,,hernafe02
Raul Ibanez,41,496,.345,123,.273,.244,5.9%,25.8%,8.5%,25.8%,36.2%,25.8%,0.57,41.4%,44.2%,14.4%,0.6,-0.1%,3.1,20%,,48%,ibanera01
Hisashi Iwakuma,32,3,.000,-131,.000,.000,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.6,,,,iwakuhi01
Alex Liddi,24,18,.109,-51,.100,.059,0.0%,38.9%,5.6%,10.0%,70.0%,0.0%,3.50,40.0%,30.0%,30.0%,-0.2,0.0%,-2.6,0%,,0%,liddial01
Brad Miller,23,335,.323,108,.294,.154,2.4%,15.5%,7.2%,24.4%,44.2%,19.0%,0.84,29.1%,55.0%,15.9%,-0.4,0.0%,4.9,34%,63%,58%,millebr02
