--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Robinson Canó,29,697,.401,153,.326,.238,4.7%,13.8%,8.8%,23.1%,49.3%,22.3%,0.98,26.6%,55.5%,17.8%,2.2,3.0%,29.7,31%,60%,42%,canoro01
Francisco Cervelli,26,2,.347,112,.000,.000,0.0%,0.0%,50.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,0.0,100%,,100%,cervefr01
Eric Chavez,34,313,.364,125,.300,.216,5.1%,18.9%,9.6%,23.3%,42.6%,26.0%,0.74,25.6%,52.0%,22.4%,-0.2,0.1%,-1.3,22%,,36%,chaveer01
Chris Dickerson,30,17,.509,200,.286,.429,11.8%,29.4%,17.7%,11.1%,66.7%,11.1%,2.00,44.4%,55.6%,0.0%,0.3,0.4%,2.5,27%,100%,33%,dickech01
Freddy Garcia,35,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.7,,,,garcifr03
Brett Gardner,28,37,.348,125,.417,.065,0.0%,18.9%,13.5%,36.0%,36.0%,20.0%,0.60,24.0%,40.0%,36.0%,0.0,-0.1%,2.4,39%,50%,83%,gardnbr01
Curtis Granderson,31,684,.350,114,.260,.260,6.3%,28.5%,11.0%,17.6%,33.7%,39.9%,0.52,37.4%,48.7%,13.9%,0.8,0.7%,21.9,34%,77%,41%,grandcu01
Phil Hughes,26,2,.000,-142,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,hugheph01
Raul Ibanez,40,425,.336,103,.243,.214,4.5%,15.8%,8.2%,19.7%,41.4%,29.8%,0.71,33.9%,52.7%,13.5%,1.6,2.0%,-1.1,28%,100%,37%,ibanera01
Derek Jeter,38,740,.352,116,.347,.113,2.0%,12.2%,6.1%,17.8%,62.2%,16.3%,1.75,18.0%,61.2%,20.8%,0.9,1.1%,13.6,34%,69%,31%,jeterde01
Andruw Jones,35,269,.314,88,.212,.210,5.2%,26.4%,10.4%,13.3%,37.0%,32.7%,0.59,42.4%,46.7%,10.9%,-1.0,-0.8%,-0.6,19%,,42%,jonesan01
Hiroki Kuroda,37,2,.000,-142,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,kurodhi01
Russell Martin,29,485,.325,95,.222,.192,4.3%,19.6%,10.9%,16.7%,48.0%,27.4%,0.95,27.4%,52.6%,20.1%,0.6,0.9%,-3.4,23%,86%,35%,martiru01
Darnell McDonald,33,4,.000,-142,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.1,-0.1%,-1.3,,,,mcdonda02
Casey McGehee,29,59,.246,38,.163,.113,1.7%,17.0%,8.5%,9.1%,54.5%,27.3%,1.20,31.8%,47.7%,20.5%,0.0,-0.1%,-3.9,67%,,25%,mcgehca01
Melky Mesa,25,2,.449,187,.500,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.4,0%,,0%,mesame01
Jayson Nix,29,202,.301,78,.325,.141,2.0%,26.2%,6.9%,11.3%,42.1%,30.8%,0.85,33.8%,47.4%,18.8%,-0.1,-0.2%,-3.0,35%,67%,55%,nixja01
Iván Nova,25,9,.128,-90,1.000,.000,0.0%,66.7%,0.0%,33.3%,0.0%,0.0%,0.00,0.0%,66.7%,33.3%,-0.2,-0.1%,-1.9,0%,,,novaiv01
Eduardo Núñez,25,100,.348,101,.313,.101,1.0%,12.0%,6.0%,13.6%,43.2%,23.5%,0.80,27.2%,63.0%,9.9%,0.6,0.8%,2.5,34%,85%,50%,nunezed02
Steve Pearce,29,30,.273,58,.188,.120,3.3%,26.7%,16.7%,17.6%,35.3%,35.3%,0.55,41.2%,47.1%,11.8%,-0.1,0.0%,0.3,63%,,40%,pearcst01
Ramiro Pena,26,4,.224,22,.250,.000,0.0%,0.0%,0.0%,25.0%,50.0%,25.0%,1.00,50.0%,25.0%,25.0%,0.0,0.0%,-0.6,0%,,,penara02
Andy Pettitte,40,5,.224,3,.500,.000,0.0%,40.0%,0.0%,33.3%,0.0%,33.3%,0.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.0,0%,,,pettian01
Alex Rodriguez,36,529,.352,112,.323,.158,3.4%,21.9%,9.6%,18.8%,45.2%,28.1%,0.83,24.4%,59.1%,16.5%,0.3,0.4%,3.2,33%,93%,28%,rodrial01
CC Sabathia,31,5,.000,-142,.000,.000,0.0%,20.0%,0.0%,0.0%,75.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,-0.1%,-1.6,,,,sabatc.01
Chris Stewart,30,157,.297,73,.273,.078,0.6%,13.4%,6.4%,17.6%,32.0%,25.6%,0.51,34.4%,54.4%,11.2%,-0.6,-0.6%,-7.3,32%,100%,40%,stewach01
Ichiro Suzuki,38,240,.349,111,.337,.132,2.1%,8.8%,2.1%,19.3%,54.7%,17.5%,1.29,18.9%,60.8%,20.3%,-0.1,0.2%,2.2,30%,74%,36%,suzukic01
